reviewId,content,score
66928b58-cc65-4e12-abdc-228faca23c0d,just wow,5
6608a13b-1439-4fae-86f7-ed75778c866e,public Review,5
9f7916b5-d5bd-4976-8d29-02a6356fc8a3,i will rate facebook for deactivating my 18 years account. and im unable to create a new account. such a waste of time. its used for my personal but still keep on blocking my account.,1
8e548164-914e-47b6-912b-398226e48510,Good,5
fc2f157d-8378-4e26-8264-3a8fa2ca1142,your app is good,5
b1858e26-26f4-414e-b300-19c58e5c4be5,nice,3
9f14b2b1-2e8c-4430-a60e-4279c6593f3e,qaqaqa,2
acdcd3bf-98e5-40e7-9196-a68cef3d03f2,beta why you suspend my Facebook id I am not braking any rules your community guidelines,1
1bd56564-e9f3-4526-95af-823f413c689c,salute,5
3f281269-8bbd-4f1f-997a-20e89c0fdde2,Best app,5
d2e16a04-e89e-4c1f-8e04-ff5818179fd2,good,5
ea23bd49-d340-4a9a-b610-e9bde9055314,MADERFACUKER FACEBOOK MAY FEED BACK MAY FACE BOOK WHY BRANDED MAY ACCOUNT NAME IS JOY ROUTH 😡😡😡😡,1
c68464c0-5e78-4f68-ae6b-781f888aef80,excellent,5
c61aa5ab-fb44-43ea-8014-e14ea699bac4,very good,5
bfd2c446-0001-40cf-b073-1adbdb23b1f0,"limits what you can online like how many friend requests you send, how many post you like when and if you get to update your contact info.lax security settings.its like the hunchback stepchild gone wild version of insta and threads.they don't even fix things if u report them and if you report a profile,your always wrong.dumbshits",1
fd356f84-ea5c-4e63-a0ac-e451fc569bef,কাৰিমূল ইছলাম,5
fca5de59-f02d-45f7-8d67-528c5ce62785,Nice 🙂🙂🙂 Play ⏯️⏯️,5
5b0511ff-1e50-41c5-bbd6-ba87bc4a7a61,super,5
6b4261b2-80e2-4954-89cd-dcbf27e6cc4a,sak jane sing di update iki apane to ? saya jadi tidak bisa melihat jumlah viewer video,4
db343a09-0c33-4572-9597-2db20b1f919c,good luck,5
d1b291de-320c-45a9-87e0-6d21b0b9edd0,"my marketplace location never works for me, for some reason the location is set to Paris France when im in the US.",2
57ac73bd-da9a-4970-b99b-09b7d697f42a,"Please remove old blocked peoples from fb messenger, ihve unblocked them by mistake and they are appearing and i cant block them again there is blank white page instead of block options. as they have blocked me I cant block them again. So hope you fix this problem.",1
a225202c-514f-4c47-b36d-45822c6ef1d8,Facebook facilitates scammers on their platform. Enter at your own risk.,1
bb685695-36b8-4b64-a50a-a6ca684dd29f,thank you so much Facebook mata,5
739d3355-75b4-4390-b924-b0a9b8164dad,It's amazing App forever,5
fdfffff9-8397-4e4c-9b87-e9e7591376f9,great,5
f86d25c0-7124-444b-bd8d-befe547a7024,stop removing accounts!!!,1
948fc73a-616f-43e5-a2fc-069c0deb4471,fvbmjbbb wish sick ask for a ride home and get i y i t mobile iphone i y ought go out to eat a ride home today so I will get you a new 🆕 I will get back to y i y ought a ride to work with you a lot and get the new 🆕 a ride to eat and get the work with you a lot of money on it now but y a lot and we are a ride home 🏠 to eat and get i a lot of people don't like it I don't think so either a ride to eat a lot and I will be home in about the work with me and I will be in touch with you soon 🔜 a l,5
31d0af98-d35f-479f-8543-01416c4eacd5,muhammadkhaskheli,5
edc73bae-5ed5-4f22-8019-1d35a83fef18,mdjahid,5
f33111ab-3aee-4b8b-9691-5c0df7a43940,facebook is a very wonderful app,5
378e17b2-0add-4320-a35d-526278f34788,🙂😁💥⚡🐸,5
ef05ea99-a109-4aa9-93c6-ef87901ed829,very good app,5
5cef3b9d-d0bb-4409-b7b1-7d8a6678f9a8,😘😘😘,5
818a2632-b1dc-418a-8c5d-5e92935eac96,ফেসবুক কে চালাই বালের ফেসবুক,1
e8e65d90-4b01-4189-a064-d07878974c27,very outdated,1
eceeade7-b471-4b31-8b8f-797d0c074d35,full on dunda,1
8b31b983-57d0-4020-bca2-22c03bd733d6,nice,5
33921448-c93b-4b62-81be-6d298da7bf42,"I’ve been dealing with this issue for several months now and it still hasn’t been fixed. Whenever I try to deactivate my account, it keeps saying “password is incorrect,” even though I’m certain I’m typing the correct one. The confusing part is that I can still use the same password to log into my account on other devices without any problem. This has become really frustrating, and I hope this issue can be resolved soon.",1
ee14ed39-44d9-4f36-9cbb-acb4f757616f,ilike friends,5
79e7190b-53f0-42c6-866d-c12afbfe84b8,n. ..mmm. . ji mmmmo n . . . c for,5
8f46de76-27de-4fd2-aa73-c8cdbfd60ed3,"I’ve reached out multiple times regarding an issue that’s been going on for months, but it still hasn’t been resolved. Every time I try to deactivate my account, I get a “password is incorrect” error—even though I’m entering the correct one. What’s even more confusing is that the same password works perfectly when I log in on another device. This situation has been really frustrating, and I’d appreciate it if this could be looked into and fixed as soon as possible.",1
9c2751ec-59ac-4516-89ad-e8d1c734cf9a,"I’ve been trying to reach out because I’ve been experiencing this issue for months now, and it still hasn’t been fixed. Whenever I try to deactivate my account, it keeps saying “password is incorrect,” even though I’m sure I’m entering the correct password. What’s confusing is that the same password works perfectly when I log into my account on another device. This has been really frustrating, and I hope this issue can be resolved soon. Y'all are seriously the worst app developers ever.",1
c37f57bd-528f-4453-aefc-bfdcf3a8dc1f,nice app,5
a84d1910-6c41-4855-9fc0-9eeb47ecba52,Facebook nice 📈,5
7189d101-305f-48f1-8948-92f1a5866648,nic,5
f0f7bc75-e5cd-461c-b75a-25f7ed9a20c7,"setelak tidak sengaja klik link mutual yg jualan di facebook tampilan layar jadi blur. khusus aplikasi facebook saja. tidak bisa beres dg hapus cache. setelah kejadian itu setiap klik reels di instagram layar blank tapi ada suara, klik lagi baru bisa lihat video. meta apa ini?? bug kalian..??",3
e5f48b3d-6586-4ebe-a5d5-26d1f1b4f0f6,Very good,4
bcfa5233-57fe-49dc-97d1-5edb799bc03d,ofen face book,5
cf27276d-d7b0-4eed-9641-f0ffde86d1b5,mahroj Khan,2
dbc3b453-dbc2-4140-a561-0bdc09ca72ff,good,5
dcc07087-c863-436d-bc6d-24a07d08f735,Good app.,5
56aa12d3-ac64-473b-8c86-45c8c3ddb98b,Uninstall this app,1
8679a71c-f032-472c-b254-9ae706a19908,it's good I love it,5
10f92b99-301c-486a-81d6-62b4c54566f4,very helpful app 😘,5
b9ade407-a340-4a7b-9bb2-a069afa361fa,best app facebook page of Google Yahoo se bhaiya pilish 🥰 hai kyoki harbhajan singh dilbagh me know if there is anything else that I have been a Babu is anything else you can do that I can see 🙈🙈 hai y a Babu is worth over rs a rohit singh ke makan ke liye ho bhaiya pasward a Babu is bhaiya pasward hai y a Babu sutja a Babu sutja a Babu is worth over a year or two of us are bhaiya pilishBest,5
0688575e-1de7-433c-9e89-e65820ec6516,ßaw Lay,5
463a5502-90fa-443c-8971-4517673e38d6,cc ho kb rs dr,1
96bbab37-f4f5-4b10-8928-0d7a4288ba31,good,5
677d467c-d71f-44f4-91cd-caa3ac4220e9,Good,5
21f37eb0-595c-443f-9e73-2f62d2e31e85,perfect,1
6170108e-dff6-484e-9f73-1d081b9bd44a,MazrulAlam,1
9fcb8583-c8e6-403e-b686-49bd45e530d6,😜🤤😗,5
9a8e3089-5a8e-4dc1-962d-2fcae51a43bf,so,5
6a212237-05c2-40e8-ad78-5fb7e49d0283,Maganda sya,5
24ae3f9d-64af-4549-b73a-32d79ab78f98,Phirbath,5
8f3fde2e-065f-459f-8c5f-734346bfa5cc,live if ty.,5
6a805555-22a4-4227-8b61-e995f27ffd7f,this app blocked 🚫 my WhatsApp account,1
afb8b181-db64-405c-b98f-c5b62fa92a6f,very nice,5
9aac5930-2e2a-4903-88ef-c7218bdb0d7a,truck,5
d8c08d10-795f-4999-b03b-3612f464f28c,ช่วยเอาศูนย์บริการออนไลน์ของ true move H ออกไปที น่ารำคาญมากๆ,1
72669cb3-c045-4e68-9d93-9a930a86df3f,chita,5
263d20b9-e8e2-4420-b880-2fffcdb02302,I like this app,5
96ffe14d-20ec-4f54-b0f2-73e3b484f6cc,zabaan,2
ab0a7c80-b04b-4368-b656-57ccbc115297,optional,3
a124e7c2-44c1-47fc-abd8-4bb4c05bfca4,nice,5
f9bab0ad-49cb-4586-88c1-8f36bef56f0b,suspending accounts without any valid reasons!!!,1
44499d46-eb5f-4593-b0ca-c720da76ed12,धुलजीहीरजन,5
344cad62-36d8-4956-a0a4-bf9b20f35232,abbu bakar,5
b84d10d6-1770-4d87-848c-327639ff12c2,stop the addsss 🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬,1
ce89ba26-4fa1-4d05-bc7f-aa68efcbab0d,good,4
1620e822-129f-4aec-9dfc-9e7f20ebcfc6,"this app doesn't even open,I have downloaded this app it's now a week,and it has not open since.",1
951fca78-9ca4-4739-99e3-441a796f59b5,best of best website,5
4de1efc9-1153-4dac-8d28-4186eaf11c94,good,5
b3fa44ae-3f2e-48f7-ab34-0f3cce807999,"""""'",3
5cb9efea-bdba-4a67-b13b-edd578304779,Big recycle bin,1
43af7bf7-0041-41b9-b000-7fc398b94bff,ধন্যবাদ আপনাদের সার্ভিসের আমি খুবই খুশি,5
b7d60f18-fe15-41a5-839f-a63c132b1acd,why not updated my face book i think this is over now 🤣🤣🤣 I have new model phone,1
10d3f565-b392-4e0f-81f5-394aea0461d6,Nice 👍👍👍👍👍 app,5
166fa591-e8e6-4109-9518-016f128fef5e,it sucks no privacy again they in my chats with friends and family 😂 Facebook sucks 😔😞,1
4362c95c-e426-4a4f-8a44-bd546057d66f,clear,5
29584742-1021-4122-a395-6c32ae902b8b,was working fine until o got a message I can't read because I let says my FACEBOOK VERSION IS WRONG... I've updated app but still can't read it any advice. I've tried everything,2
8537dd10-45a3-4d2e-9270-ae874fa0e9cc,qw5frd we,2
ef4b1dd1-f167-4b2b-bba8-89bf16a90f2a,Nice platform for sharing content,5
1cf16e99-e76e-4a53-967d-b54ba96090f6,okay,4
7060858c-83e9-4d26-838d-f709529ef61a,i cant update it😡😡😡😡 but i can talk to my friends minus three,2
79ccc7ef-d456-4500-b6b3-042b25177cfd,randomly dlt my acc,1
ab571a70-58a7-4c6c-bfad-abc8b560b466,Gurprllt singh,2
0d345412-cf99-42b4-8ea6-712516ece396,Facebook needs to be banned 😤 because it's a app that interfere with with your other apps and then delete your profile and you have to start a new account it's a most difficult a disturbance apps,5
9c9a40b1-5cf4-478f-b7f1-595d1f5983b6,1 star lang wala akong ka chat,1
1cb3c32c-e0c8-4a70-bf64-f0dc8959021a,I like it,5
96b95483-35af-4f13-9a26-9f9abf957d22,Faizan,5
8e5cc09f-da7f-41da-b552-abf00bea4f48,thanks for wrongfully suspending my account out of nowhere no thanks to AI ruining everything,2
ef3f6644-9826-445e-8510-27c4ede7b537,They have made it very difficult to uninstall this app. That leads me to believe they are still collecting data from my phone when disabled.,1
d6f55e74-0e04-40b1-bea1-5e4ef27f3a50,nahidul abdullah asafi syam,5
2802aa9c-18ea-48f4-a5e5-6864363e1cb9,😍😍😍😍😍😘😍,5
bfb8e9c1-b41e-4b7e-8dd3-d0f68972eef2,"My sister’s account was disabled after I submitted her valid ID. She had recently updated her birth date, which triggered a request for identification. Although I provided the required ID, the account was still disabled. Also, too many users are suddenly losing their accounts due to unexpected locks, suspensions, or disabling. There’s no proper warning, no clear explanation, and sometimes no way to recover the account, which is very frustrating. .",1
a2d32282-b11c-4313-8284-b00c3184fa4d,there is 7 billion people in this planet how Facebook has 10billion downloads how??,3
0d7dd55d-bf87-4625-a432-7c091f7d83b4,Tetdecgdud,1
1fbeff3f-67e9-41a0-b7be-209bb1949050,parvati,5
4eebbb72-ce7f-4530-a0a2-25130843f010,account integrity suck it suddenly delete my account permanently even thought I didn't do anything,1
